step_index,load
0,0.22
1,0.22893
2,0.2206
3,0.22432
4,0.22705
5,0.22577
6,0.22783
7,0.23234
8,0.23136
9,0.23092
10,0.22836
11,0.23252
12,0.23194
13,0.23986
14,0.24021
15,0.2356
16,0.23579
17,0.23957
18,0.2387
19,0.23537
20,0.2349
21,0.23028
22,0.23167
23,0.22666
24,0.22112
25,0.21263
26,0.21211
27,0.21848
28,0.20408
29,0.20588
30,0.20726
31,0.19933
32,0.19775
33,0.19428
34,0.19136
35,0.19738
36,0.19342
37,0.19939
38,0.19845
39,0.21266
40,0.1977
41,0.19901
42,0.19686
43,0.20526
44,0.21079
45,0.2216
46,0.22217
47,0.23527
48,0.23619
49,0.2331
50,0.23269
51,0.21728
52,0.21562
53,0.21734
54,0.22488
55,0.22283
56,0.21548
57,0.21211
58,0.21258
59,0.21735
60,0.21658
61,0.21162
62,0.21229
63,0.21581
64,0.21564
65,0.21481
66,0.21249
67,0.21186
68,0.21092
69,0.20893
70,0.21759
71,0.22302
72,0.22505
73,0.22818
74,0.23384
75,0.22497
76,0.22232
77,0.21091
78,0.21698
79,0.2228
80,0.22295
81,0.22152
82,0.22015
83,0.22269
84,0.22466
85,0.21891
86,0.21809
87,0.21709
88,0.22279
89,0.22688
90,0.22979
91,0.23545
92,0.23239
93,0.24082
94,0.25143
95,0.26484
96,0.2675
97,0.27239
98,0.28652
99,0.28866
100,0.30575
101,0.31572
102,0.33008
103,0.34187
104,0.3461
105,0.35503
106,0.37143
107,0.38011
108,0.40619
109,0.41952
110,0.44187
111,0.46937
112,0.49874
113,0.51603
114,0.53793
115,0.554
116,0.57399
117,0.58131
118,0.60064
119,0.62627
120,0.65783
121,0.68345
122,0.70652
123,0.72115
124,0.74522
125,0.77877
126,0.80439
127,0.82366
128,0.84686
129,0.87717
130,0.8937
131,0.91649
132,0.94214
133,0.96477
134,0.9611
135,0.97176
136,0.9837
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,0.9903
145,0.98074
146,0.96908
147,0.96091
148,0.95284
149,0.93846
150,0.91373
151,0.88777
152,0.85144
153,0.82822
154,0.79774
155,0.77578
156,0.75117
157,0.72559
158,0.7065
159,0.68354
160,0.66103
161,0.64527
162,0.62368
163,0.59351
164,0.56731
165,0.54527
166,0.51863
167,0.49505
168,0.47184
169,0.44823
170,0.42961
171,0.40199
172,0.39388
173,0.3784
174,0.37453
175,0.362
176,0.3446
177,0.33164
178,0.32351
179,0.31686
180,0.30643
181,0.29538
182,0.2893
183,0.2837
184,0.27477
185,0.27141
186,0.26569
187,0.27338
188,0.26779
189,0.27569
190,0.27207
191,0.26079
192,0.25874
193,0.24423
194,0.24343
195,0.23797
196,0.24058
197,0.2476
198,0.24946
199,0.24642
200,0.24046
201,0.24957
202,0.24831
203,0.24511
204,0.24617
205,0.2403
206,0.23073
207,0.23776
208,0.24631
209,0.23585
210,0.23143
211,0.23982
212,0.23639
213,0.22515
214,0.22247
215,0.22098
216,0.21821
217,0.22362
218,0.22566
219,0.21905
220,0.21632
221,0.21574
222,0.2276
223,0.227
224,0.22993
225,0.22847
226,0.22704
227,0.21827
228,0.21654
229,0.22445
230,0.22995
231,0.22702
232,0.23028
233,0.23306
234,0.23529
235,0.24142
236,0.24006
237,0.23672
238,0.23381
239,0.23272
240,0.23421
241,0.23046
242,0.22916
243,0.22384
244,0.21901
245,0.22053
246,0.22793
247,0.22584
248,0.2306
249,0.2375
250,0.22656
251,0.23246
252,0.22328
253,0.22175
254,0.23301
255,0.2368
256,0.23694
257,0.22497
258,0.20716
259,0.20451
260,0.2121
261,0.21784
262,0.21833
263,0.2185
264,0.21949
265,0.21819
266,0.21345
267,0.21165
268,0.22142
269,0.22123
270,0.21965
271,0.21087
272,0.21606
273,0.21423
274,0.2126
275,0.2171
276,0.21951
277,0.21552
278,0.22293
279,0.21733
280,0.22337
281,0.22271
282,0.22039
283,0.21743
284,0.21983
285,0.2203
286,0.21385
287,0.21452
288,0.21255
289,0.22598
290,0.22689
291,0.22918
292,0.23437
293,0.23758
294,0.22552
295,0.21919
296,0.22611
297,0.22787
298,0.2239
299,0.22084
300,0.21982
301,0.23058
302,0.22043
303,0.21386
304,0.22746
305,0.23148
306,0.23706
307,0.23168
308,0.23601
309,0.233
310,0.24601
311,0.24737
312,0.24846
313,0.25184
314,0.25149
315,0.25576
316,0.26006
317,0.25475
318,0.25739
319,0.2668
320,0.26961
321,0.27544
322,0.27136
323,0.27498
324,0.27983
325,0.28669
326,0.28728
327,0.28872
328,0.28899
329,0.29862
330,0.31087
331,0.3139
332,0.31906
333,0.32562
334,0.33549
335,0.35343
336,0.35932
337,0.37219
338,0.38215
339,0.39432
340,0.39887
341,0.42364
342,0.4228
343,0.44017
344,0.44325
345,0.44625
346,0.47348
347,0.49237
348,0.51926
349,0.5418
350,0.55659
351,0.57668
352,0.59179
353,0.61781
354,0.6309
355,0.65381
356,0.67345
357,0.68851
358,0.70141
359,0.71978
360,0.73711
361,0.74601
362,0.76002
363,0.77177
364,0.79119
365,0.80461
366,0.82226
367,0.83946
368,0.85002
369,0.86675
370,0.88928
371,0.88813
372,0.90244
373,0.90528
374,0.91669
375,0.92393
376,0.93122
377,0.93627
378,0.94279
379,0.94467
380,0.94414
381,0.94219
382,0.94719
383,0.94884
384,0.94626
385,0.94451
386,0.93729
387,0.93437
388,0.92639
389,0.91605
390,0.90293
391,0.88665
392,0.86713
393,0.85144
394,0.83507
395,0.8229
396,0.7961
397,0.7753
398,0.75364
399,0.73298
400,0.7266
401,0.70678
402,0.68357
403,0.67444
404,0.64658
405,0.62888
406,0.63247
407,0.61074
408,0.59085
409,0.57432
410,0.55099
411,0.53411
412,0.52108
413,0.50161
414,0.48467
415,0.46963
416,0.46396
417,0.44233
418,0.43454
419,0.41604
420,0.40369
421,0.39072
422,0.38438
423,0.37134
424,0.35565
425,0.33927
426,0.33643
427,0.33354
428,0.33371
429,0.32241
430,0.31474
431,0.30855
432,0.28244
433,0.27586
434,0.27034
435,0.26698
436,0.26606
437,0.26208
438,0.24688
439,0.24401
440,0.22743
441,0.21706
442,0.22531
443,0.21993
444,0.22456
445,0.21571
446,0.21708
447,0.20781
448,0.21201
449,0.21703
450,0.21505
451,0.2197
452,0.22164
453,0.21417
454,0.21644
455,0.21726
456,0.21154
457,0.20465
458,0.21633
459,0.22002
460,0.21662
461,0.21049
462,0.20967
463,0.20675
464,0.20904
465,0.20715
466,0.20197
467,0.19915
468,0.19592
469,0.20061
470,0.18972
471,0.19601
472,0.20134
473,0.19645
474,0.19877
475,0.19741
476,0.20532
477,0.20134
478,0.20481
479,0.20329
480,0.20592
481,0.20998
482,0.21839
483,0.22501
484,0.22149
485,0.21353
486,0.21275
487,0.21155
488,0.20952
489,0.20116
490,0.20672
491,0.20232
492,0.19254
493,0.19764
494,0.20454
495,0.20336
496,0.21011
497,0.21326
498,0.21203
499,0.2148
500,0.20748
501,0.21492
502,0.21061
503,0.20898
504,0.20553
505,0.20334
506,0.20446
507,0.20457
508,0.20008
509,0.19731
510,0.19579
511,0.20162
512,0.1878
513,0.19432
514,0.19822
515,0.19494
516,0.19672
517,0.20175
518,0.20265
519,0.2103
520,0.21602
521,0.20956
522,0.20952
523,0.21128
524,0.20837
525,0.20082
526,0.19868
527,0.1988
528,0.20551
529,0.20522
530,0.21882
531,0.21816
532,0.21098
533,0.20309
534,0.20984
535,0.20706
536,0.21226
537,0.21586
538,0.21233
539,0.21836
540,0.21002
541,0.20938
542,0.21227
543,0.20811
544,0.20052
545,0.20228
546,0.20736
547,0.20674
548,0.20533
549,0.21185
550,0.21798
551,0.22336
552,0.22439
553,0.21629
554,0.21663
555,0.21943
556,0.22271
557,0.21764
558,0.21216
559,0.21013
560,0.21636
561,0.21473
562,0.21765
563,0.21745
564,0.2137
565,0.19361
566,0.20023
567,0.2035
568,0.20916
569,0.20475
570,0.20987
571,0.20519
572,0.20356
573,0.19414
574,0.19496
575,0.19588
576,0.20433
577,0.19533
578,0.1887
579,0.19049
580,0.19884
581,0.19935
582,0.19971
583,0.21145
584,0.20372
585,0.20129
586,0.21478
587,0.21409
588,0.21513
589,0.22085
590,0.22409
591,0.22672
592,0.22827
593,0.22264
594,0.2165
595,0.229
596,0.23313
597,0.22426
598,0.21939
599,0.231
600,0.23013
601,0.23114
602,0.23947
603,0.24735
604,0.25846
605,0.26854
606,0.28782
607,0.30528
608,0.32105
609,0.33508
610,0.34039
611,0.36715
612,0.3742
613,0.38127
614,0.40492
615,0.42002
616,0.43896
617,0.46885
618,0.49156
619,0.51862
620,0.55417
621,0.57361
622,0.59816
623,0.62468
624,0.66018
625,0.69255
626,0.71946
627,0.75211
628,0.79116
629,0.80182
630,0.83433
631,0.86695
632,0.89299
633,0.91418
634,0.93883
635,0.95342
636,0.96335
637,0.97919
638,0.97752
639,0.97671
640,0.97782
641,0.98034
642,0.96887
643,0.96042
644,0.93737
645,0.92726
646,0.90901
647,0.9037
648,0.88275
649,0.85704
650,0.83082
651,0.79413
652,0.7651
653,0.72989
654,0.69445
655,0.66033
656,0.64028
657,0.61216
658,0.59082
659,0.56253
660,0.53114
661,0.49924
662,0.47353
663,0.45248
664,0.42151
665,0.39302
666,0.36906
667,0.34383
668,0.33097
669,0.31187
670,0.29631
671,0.27844
672,0.27617
673,0.26406
674,0.24522
675,0.23273
676,0.23547
677,0.23643
678,0.22751
679,0.21858
680,0.2257
681,0.21363
682,0.20754
683,0.20209
684,0.20133
685,0.20426
686,0.19733
687,0.20165
688,0.19991
689,0.19373
690,0.19447
691,0.19384
692,0.19279
693,0.19309
694,0.18949
695,0.18319
696,0.18393
697,0.1841
698,0.18669
699,0.19217
700,0.2047
701,0.20314
702,0.19128
703,0.19914
704,0.21234
705,0.21386
706,0.22579
707,0.21941
708,0.21159
709,0.212
710,0.21136
711,0.21026
712,0.21007
713,0.21266
714,0.2027
715,0.20579
716,0.21494
717,0.20093
718,0.19057
719,0.19659
720,0.19664
721,0.19769
722,0.19441
723,0.1915
724,0.19148
725,0.19619
726,0.19661
727,0.1874
728,0.17932
729,0.17742
730,0.17123
731,0.17473
732,0.17191
733,0.18084
734,0.18533
735,0.18048
736,0.18456
737,0.19215
738,0.19224
739,0.20188
740,0.19386
741,0.18662
742,0.18421
743,0.18774
744,0.19068
745,0.19639
746,0.19148
747,0.20111
748,0.20337
749,0.19947
750,0.19612
751,0.19748
752,0.1898
753,0.18856
754,0.18582
755,0.19898
756,0.19752
757,0.20406
758,0.20054
759,0.20019
760,0.19416
761,0.18803
762,0.1807
763,0.19143
764,0.1897
765,0.19212
766,0.19444
767,0.19557
768,0.18963
769,0.20121
770,0.19623
771,0.20334
772,0.20225
773,0.20226
774,0.19448
775,0.19229
776,0.17931
777,0.17429
778,0.17366
779,0.19331
780,0.19716
781,0.20581
782,0.19902
783,0.19548
784,0.20098
785,0.18945
786,0.1882
787,0.19207
788,0.19104
789,0.19563
790,0.20045
791,0.20776
792,0.20528
793,0.20392
794,0.20253
795,0.20262
796,0.18962
797,0.17277
798,0.16809
799,0.1719
800,0.16758
801,0.16236
802,0.16058
803,0.16713
804,0.17535
805,0.17441
806,0.1696
807,0.17184
808,0.17545
809,0.18552
810,0.1818
811,0.19451
812,0.19789
813,0.2087
814,0.21682
815,0.21661
816,0.22772
817,0.22872
818,0.22158
819,0.21926
820,0.22644
821,0.21491
822,0.21826
823,0.21137
824,0.21737
825,0.21442
826,0.20686
827,0.2117
828,0.21087
829,0.20448
830,0.21395
831,0.21975
832,0.22102
833,0.22006
834,0.22925
835,0.22954
836,0.23877
837,0.2323
838,0.22812
839,0.24053
840,0.2342
841,0.23423
842,0.23614
843,0.23439
844,0.23648
845,0.24735
846,0.25112
847,0.26394
848,0.26198
849,0.26218
850,0.2714
851,0.28382
852,0.28208
853,0.2848
854,0.28683
855,0.2932
856,0.29222
857,0.30116
858,0.30885
859,0.31478
860,0.31245
861,0.31344
862,0.32924
863,0.33661
864,0.34458
865,0.35165
866,0.36038
867,0.3633
868,0.37855
869,0.38217
870,0.39264
871,0.40276
872,0.41257
873,0.42224
874,0.42475
875,0.4318
876,0.44575
877,0.46721
878,0.47487
879,0.49552
880,0.51
881,0.52499
882,0.53536
883,0.55039
884,0.56657
885,0.58338
886,0.59757
887,0.60572
888,0.61563
889,0.64505
890,0.66081
891,0.65982
892,0.68201
893,0.69799
894,0.70041
895,0.72198
896,0.73382
897,0.74317
898,0.75232
899,0.76304
900,0.77722
901,0.78623
902,0.79956
903,0.81939
904,0.83571
905,0.85171
906,0.86435
907,0.87076
908,0.8643
909,0.88007
910,0.8919
911,0.8961
912,0.90883
913,0.92695
914,0.92611
915,0.93293
916,0.93437
917,0.92553
918,0.93009
919,0.93666
920,0.93902
921,0.93666
922,0.9326
923,0.93096
924,0.92524
925,0.92841
926,0.93448
927,0.92718
928,0.91712
929,0.90706
930,0.90852
931,0.89971
932,0.89089
933,0.8814
934,0.86407
935,0.84902
936,0.85493
937,0.83192
938,0.81718
939,0.80125
940,0.78649
941,0.77398
942,0.76425
943,0.74894
944,0.73381
945,0.71798
946,0.69806
947,0.67653
948,0.65748
949,0.6335
950,0.62599
951,0.60644
952,0.5865
953,0.5829
954,0.58379
955,0.57295
956,0.56451
957,0.55066
958,0.5506
959,0.53618
960,0.51389
961,0.50387
962,0.49592
963,0.47232
964,0.46886
965,0.45469
966,0.43989
967,0.433
968,0.42783
969,0.42246
970,0.42372
971,0.4094
972,0.39984
973,0.38652
974,0.37018
975,0.35929
976,0.34834
977,0.34607
978,0.33707
979,0.33065
980,0.32455
981,0.31519
982,0.30533
983,0.30759
984,0.29893
985,0.28145
986,0.27209
987,0.27799
988,0.27641
989,0.27267
990,0.26359
991,0.26485
992,0.26428
993,0.25685
994,0.25622
995,0.25596
996,0.25391
997,0.25379
998,0.25505
999,0.26754
1000,0.27284
1001,0.27732
1002,0.27913
1003,0.26599
1004,0.26637
1005,0.26141
1006,0.25309
1007,0.2595
1008,0.27163
1009,0.26314
1010,0.26052
1011,0.2623
1012,0.25793
1013,0.2575
1014,0.24594
1015,0.24026
1016,0.23348
1017,0.22895
1018,0.23719
1019,0.22582
1020,0.23958
1021,0.24363
1022,0.23757
1023,0.23637
1024,0.23007
1025,0.22517
1026,0.22929
1027,0.22204
1028,0.2222
1029,0.22374
1030,0.22279
1031,0.21923
1032,0.2244
1033,0.22512
1034,0.23674
1035,0.23408
1036,0.23649
1037,0.23732
1038,0.24533
1039,0.24677
1040,0.2475
1041,0.25057
1042,0.24754
1043,0.25087
1044,0.25159
1045,0.25804
1046,0.26231
1047,0.25482
1048,0.26043
1049,0.26845
1050,0.25999
1051,0.26053
1052,0.25505
1053,0.25122
1054,0.2537
1055,0.25357
1056,0.25127
1057,0.25405
1058,0.24506
1059,0.23555
1060,0.23231
1061,0.23913
1062,0.23673
1063,0.23235
1064,0.22812
1065,0.23282
1066,0.2369
1067,0.2318
1068,0.24148
1069,0.23199
1070,0.22166
1071,0.22423
1072,0.23265
1073,0.22549
1074,0.22566
1075,0.2198
1076,0.22918
1077,0.22542
1078,0.22192
1079,0.21786
1080,0.22084
1081,0.21654
1082,0.21758
1083,0.21683
1084,0.22414
1085,0.22798
1086,0.23177
1087,0.23133
1088,0.23381
1089,0.23203
1090,0.23996
1091,0.24969
1092,0.25329
1093,0.25319
1094,0.25352
1095,0.25882
1096,0.23863
1097,0.23515
1098,0.23453
1099,0.23102
1100,0.22869
1101,0.22697
1102,0.221
1103,0.22819
1104,0.2273
1105,0.21924
1106,0.22253
1107,0.22104
1108,0.22485
1109,0.22522
1110,0.23266
1111,0.23458
1112,0.24005
1113,0.23537
1114,0.23586
1115,0.24153
1116,0.24444
1117,0.24849
1118,0.24913
1119,0.25887
1120,0.26105
1121,0.26332
1122,0.26064
1123,0.25916
1124,0.26491
1125,0.27614
1126,0.28117
1127,0.28768
1128,0.28911
