step_index,load
0,0.265
1,0.2487
2,0.2585
3,0.2501
4,0.2553
5,0.2583
6,0.2624
7,0.2752
8,0.2773
9,0.2856
10,0.2844
11,0.2864
12,0.293
13,0.2696
14,0.2649
15,0.2587
16,0.2509
17,0.2492
18,0.2724
19,0.2599
20,0.2745
21,0.2503
22,0.2479
23,0.2527
24,0.2629
25,0.2737
26,0.2843
27,0.2777
28,0.2703
29,0.2823
30,0.2782
31,0.2594
32,0.2448
33,0.2351
34,0.2463
35,0.2513
36,0.2633
37,0.2583
38,0.2621
39,0.272
40,0.2676
41,0.2745
42,0.2649
43,0.2607
44,0.2567
45,0.2419
46,0.2524
47,0.2482
48,0.2514
49,0.2607
50,0.2684
51,0.2783
52,0.2763
53,0.2701
54,0.2694
55,0.2463
56,0.2293
57,0.2162
58,0.2092
59,0.2226
60,0.2161
61,0.2179
62,0.2429
63,0.2417
64,0.2561
65,0.2453
66,0.246
67,0.2362
68,0.2362
69,0.2527
70,0.2313
71,0.2428
72,0.2501
73,0.2449
74,0.2284
75,0.2352
76,0.2328
77,0.2413
78,0.2459
79,0.2721
80,0.2693
81,0.256
82,0.2611
83,0.2661
84,0.2866
85,0.2972
86,0.2999
87,0.3178
88,0.2964
89,0.2853
90,0.2715
91,0.2669
92,0.2491
93,0.2616
94,0.2606
95,0.2422
96,0.2325
97,0.2425
98,0.2587
99,0.2892
100,0.3289
101,0.3288
102,0.3091
103,0.2758
104,0.2801
105,0.2688
106,0.2644
107,0.2578
108,0.2586
109,0.2763
110,0.2791
111,0.2771
112,0.2632
113,0.2419
114,0.2399
115,0.2442
116,0.2735
117,0.3097
118,0.3493
119,0.37
120,0.377
121,0.3909
122,0.3921
123,0.4275
124,0.4161
125,0.3946
126,0.3912
127,0.3965
128,0.378
129,0.3462
130,0.3201
131,0.3644
132,0.3951
133,0.398
134,0.3724
135,0.2464
136,0.2535
137,0.2793
138,0.2822
139,0.2809
140,0.2854
141,0.3037
142,0.3046
143,0.2966
144,0.3107
145,0.3138
146,0.3319
147,0.329
148,0.3067
149,0.2851
150,0.3084
151,0.3299
152,0.3222
153,0.3126
154,0.33
155,0.3094
156,0.2942
157,0.3024
158,0.2951
159,0.2941
160,0.291
161,0.2954
162,0.3142
163,0.3123
164,0.3185
165,0.2861
166,0.2862
167,0.2762
168,0.2632
169,0.2578
170,0.262
171,0.2846
172,0.2746
173,0.2864
174,0.2913
175,0.2996
176,0.3273
177,0.3471
178,0.3776
179,0.419
180,0.4456
181,0.4844
182,0.5256
183,0.5515
184,0.5414
