step_index,load
0,0.34
1,0.34
2,0.34
3,0.34
4,0.34
5,0.34
6,0.34
7,0.34
8,0.34
9,0.34
10,0.34
11,0.34
12,0.34
13,0.34
14,0.34
15,0.34
16,0.34
17,0.34
18,0.34
19,0.34
20,0.34
21,0.34
22,0.34
23,0.34
24,0.34
25,0.34
26,0.34
27,0.34
28,0.34
29,0.34
30,0.34
31,0.34
32,0.34
33,0.34
34,0.34
35,0.34
36,0.34
37,0.34
38,0.34
39,0.34
40,0.34
41,0.34
42,0.34
43,0.34
44,0.34
45,0.34
46,0.34
47,0.34
48,0.34
49,0.34
50,0.34
51,0.34
52,0.34
53,0.34
54,0.34
55,0.34
56,0.34
57,0.34
58,0.34
59,0.34
60,0.34
61,0.34
62,0.34
63,0.34
64,0.34
65,0.34
66,0.35848
67,0.40864
68,0.48256
69,0.57232
70,0.6699999999999999
71,0.7676799999999999
72,0.85744
73,0.93136
74,0.98152
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,0.99067055393586
163,0.9645481049562682
164,0.9244314868804665
165,0.8731195335276968
166,0.8134110787172011
167,0.7481049562682216
168,0.6799999999999999
169,0.6118950437317785
170,0.5465889212827988
171,0.4868804664723032
172,0.4355685131195335
173,0.3954518950437318
174,0.36932944606414
175,0.36
176,0.34
177,0.34
178,0.34
179,0.34
180,0.34
181,0.34
182,0.34
183,0.34
184,0.34
185,0.34
186,0.34
187,0.34
188,0.34
189,0.34
190,0.34
191,0.34
192,0.34
193,0.34
194,0.34
195,0.34
196,0.34
197,0.34
198,0.34
199,0.34
200,0.34
201,0.34
202,0.34
203,0.34
204,0.34
205,0.34
206,0.34
207,0.34
208,0.34
209,0.34
210,0.34
211,0.34
212,0.34
213,0.34
214,0.34
215,0.34
216,0.34
217,0.34
218,0.34
219,0.34
220,0.34
221,0.34
222,0.34
223,0.34
224,0.34
225,0.34
226,0.34
227,0.34
228,0.34
229,0.34
230,0.34
231,0.34
232,0.34
233,0.34
234,0.34
235,0.34
236,0.34
237,0.34
238,0.34
239,0.34
240,0.34
241,0.34
242,0.34
243,0.34
244,0.34
245,0.34
246,0.34
247,0.34
248,0.34
249,0.34
250,0.34
251,0.34
252,0.34
253,0.34
254,0.34
255,0.34
256,0.34
257,0.34
258,0.34
259,0.34
260,0.34
261,0.34
262,0.34
263,0.34
264,0.34
265,0.34
266,0.34
267,0.34
268,0.34
269,0.34
270,0.34
271,0.34
272,0.34
273,0.34
274,0.34
275,0.34
276,0.34
277,0.34
278,0.34
279,0.34
280,0.34
281,0.34
282,0.34
283,0.34
284,0.34
285,0.34
286,0.34
287,0.34
288,0.34
289,0.34
290,0.34
291,0.34
292,0.34
293,0.34
294,0.34
295,0.34
296,0.34
297,0.34
298,0.34
299,0.34
300,0.34
301,0.34
302,0.34
303,0.34
304,0.34
305,0.34
306,0.34
307,0.34
308,0.34
309,0.34
310,0.34
311,0.34
312,0.34
313,0.34
314,0.34
315,0.34
316,0.34
317,0.34
318,0.34
319,0.34
320,0.34
321,0.34
322,0.34
323,0.34
324,0.34
325,0.34
326,0.34
327,0.34
328,0.34
329,0.34
330,0.34
331,0.34
332,0.34
333,0.34
334,0.34
335,0.34
336,0.34
337,0.34
338,0.34
339,0.34
340,0.34
341,0.34
342,0.34
343,0.34
344,0.34
345,0.34
346,0.34
347,0.34
348,0.34
349,0.34
350,0.34
351,0.34
352,0.34
353,0.34
354,0.34
355,0.34
356,0.34
357,0.34
358,0.34
359,0.34
360,0.34
361,0.34
362,0.34
363,0.34
364,0.34
365,0.34
366,0.34
367,0.34
368,0.34
369,0.34
370,0.34
371,0.34
372,0.34
373,0.34
374,0.34
375,0.36
376,0.37792
377,0.42656
378,0.49824
379,0.58528
380,0.6799999999999999
381,0.7747200000000001
382,0.86176
383,0.93344
384,0.98208
385,1.0
386,1.0
387,1.0
388,1.0
389,1.0
390,1.0
391,1.0
392,1.0
393,1.0
394,1.0
395,1.0
396,1.0
397,1.0
398,1.0
399,1.0
400,1.0
401,1.0
402,1.0
403,1.0
404,1.0
405,1.0
406,1.0
407,1.0
408,1.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,1.0
416,1.0
417,1.0
418,1.0
419,1.0
420,1.0
421,1.0
422,1.0
423,1.0
424,1.0
425,1.0
426,1.0
427,1.0
428,1.0
429,1.0
430,1.0
431,1.0
432,1.0
433,1.0
434,1.0
435,1.0
436,1.0
437,1.0
438,1.0
439,1.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,1.0
464,1.0
465,1.0
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
474,1.0
475,1.0
476,1.0
477,1.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,1.0
486,1.0
487,1.0
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,1.0
495,1.0
496,1.0
497,1.0
498,1.0
499,1.0
500,1.0
501,1.0
502,0.9947076833357632
503,0.979600524857851
504,0.9558332118384605
505,0.9245604315497886
506,0.8869368712640326
507,0.8441172182533898
508,0.7972561597900569
509,0.7475083831462312
510,0.69602857559411
511,0.6439714244058902
512,0.5924916168537688
513,0.5427438402099433
514,0.4958827817466104
515,0.45306312873596744
516,0.41543956845021146
517,0.3841667881615397
518,0.3603994751421491
519,0.3452923166642369
520,0.3400000000000001
521,0.34
522,0.34
523,0.34
524,0.34
525,0.34
526,0.34
527,0.34
528,0.34
529,0.34
530,0.34
531,0.34
532,0.34
533,0.34
534,0.34
535,0.34
536,0.34
537,0.34
538,0.34
539,0.34
540,0.34
541,0.34
542,0.34
543,0.34
544,0.34
545,0.34
546,0.34
547,0.34
548,0.34
549,0.34
550,0.34
551,0.34
552,0.34
553,0.34
554,0.34
555,0.34
556,0.34
557,0.34
558,0.34
559,0.34
560,0.34
561,0.34
562,0.34
563,0.34
564,0.34
565,0.34
566,0.34
567,0.34
568,0.34
569,0.34
570,0.34
571,0.34
572,0.34
573,0.34
574,0.34
575,0.34
576,0.34
577,0.34
578,0.34
579,0.34
580,0.34
581,0.34
582,0.34
583,0.34
584,0.34
585,0.34
586,0.34
587,0.34
588,0.34
589,0.34
590,0.34
591,0.34
592,0.34
593,0.34
594,0.34
595,0.34
596,0.34
597,0.34
598,0.34
599,0.34
600,0.34
601,0.34
602,0.34
603,0.34
604,0.34
605,0.34
606,0.34
607,0.34
608,0.34
609,0.34
610,0.34
611,0.34
612,0.34
613,0.34
614,0.34
615,0.34
616,0.34
617,0.34
618,0.34
619,0.34
620,0.34
621,0.34
622,0.34
623,0.34
624,0.34
625,0.34
626,0.34
627,0.34
628,0.34
629,0.34
630,0.34
631,0.34
632,0.34
633,0.34
634,0.34
635,0.34
636,0.34
637,0.34
638,0.34
639,0.34
640,0.34
641,0.34
642,0.34
643,0.34
644,0.34
645,0.34
646,0.34
647,0.34
648,0.34
649,0.34
650,0.34
651,0.34
652,0.34
653,0.34
654,0.34
655,0.34
656,0.34
657,0.34
658,0.34
659,0.34
660,0.34
661,0.34
662,0.34
663,0.34
664,0.34
665,0.34
666,0.34
667,0.34
668,0.34
669,0.34
670,0.34
671,0.34
672,0.34
673,0.34
674,0.34
675,0.34
676,0.34
677,0.34
678,0.34
679,0.34
680,0.34
681,0.34
682,0.34
683,0.34
684,0.34
685,0.34
686,0.34
687,0.34
688,0.34
689,0.34
690,0.34
691,0.34
692,0.34
693,0.34
694,0.34
695,0.34
696,0.34
697,0.34
698,0.34
699,0.34
700,0.34
701,0.34
702,0.34
703,0.34
704,0.34
705,0.34
706,0.34
707,0.34
708,0.34
709,0.34
710,0.34
711,0.34
712,0.34
713,0.34
714,0.34
715,0.34
716,0.34
717,0.34
718,0.34
719,0.34
