ds,load_base,y_sum,hour_of_day,day_of_week,month,hour_sin,hour_cos,is_holiday,maintenance_event,peak_event
2019-05-01 00:00:00,0.573336612830307,147.84041321661869,0,2,5,0.0,1.0,1,0,0
2019-05-01 01:00:00,0.5844012530795274,149.23455788802045,1,2,5,0.25881904,0.9659258,1,0,0
2019-05-01 02:00:00,0.6000483556401611,151.20609281066032,2,2,5,0.5,0.8660254,1,0,1
2019-05-01 03:00:00,0.5957062190083813,150.65898359505604,3,2,5,0.70710677,0.70710677,1,0,1
2019-05-01 04:00:00,0.5992411127845718,151.10438021085605,4,2,5,0.86602545,0.49999997,1,0,1
2019-05-01 05:00:00,0.6069015060879539,152.06958976708222,5,2,5,0.9659259,0.25881895,1,0,1
2019-05-01 06:00:00,0.6098182357908807,152.43709770965097,6,2,5,1.0,-4.371139e-08,1,0,1
2019-05-01 07:00:00,0.6111863112561825,152.609475218279,7,2,5,0.9659258,-0.25881913,1,0,1
2019-05-01 08:00:00,0.6096541065154908,152.41641742095186,8,2,5,0.8660254,-0.50000006,1,0,1
2019-05-01 09:00:00,0.6237863425140994,154.1970791567765,9,2,5,0.70710677,-0.70710677,1,0,1
2019-05-01 10:00:00,0.6198742931037757,153.70416093107576,10,2,5,0.49999985,-0.8660255,1,0,1
2019-05-01 11:00:00,0.6190666528390727,153.60239825772317,11,2,5,0.2588189,-0.9659259,1,0,1
2019-05-01 12:00:00,0.6246441206971355,154.30515920783907,12,2,5,-8.742278e-08,-1.0,1,0,1
2019-05-01 13:00:00,0.624467920772729,154.28295801736385,13,2,5,-0.25881907,-0.9659258,1,0,1
2019-05-01 14:00:00,0.6279395098920202,154.72037824639455,14,2,5,-0.5000002,-0.8660253,1,0,1
2019-05-01 15:00:00,0.6287742366639133,154.82555381965307,15,2,5,-0.7071067,-0.7071068,1,0,1
2019-05-01 16:00:00,0.6272731086411072,154.6364116887795,16,2,5,-0.86602545,-0.4999999,1,0,1
2019-05-01 17:00:00,0.6232822530516043,154.13356388450217,17,2,5,-0.9659258,-0.25881898,1,0,1
2019-05-01 18:00:00,0.618887221371717,153.57978989283635,18,2,5,-1.0,1.1924881e-08,1,0,1
2019-05-01 19:00:00,0.6094125013474931,152.38597516978413,19,2,5,-0.9659258,0.25881898,1,0,1
2019-05-01 20:00:00,0.6033892568328445,151.62704636093844,20,2,5,-0.8660252,0.5000003,1,0,1
2019-05-01 21:00:00,0.5945618432548344,150.51479225010914,21,2,5,-0.70710653,0.707107,1,0,1
2019-05-01 22:00:00,0.593815019940846,150.4206925125466,22,2,5,-0.49999976,0.86602557,1,0,1
2019-05-01 23:00:00,0.5892605700883927,149.84683183113748,23,2,5,-0.25881928,0.96592575,1,0,1
2019-05-02 00:00:00,0.5795777056281429,148.62679090914602,0,3,5,0.0,1.0,1,0,1
2019-05-02 01:00:00,0.5801464192854618,148.69844882996819,1,3,5,0.25881904,0.9659258,1,0,1
2019-05-02 02:00:00,0.5716241246369298,147.62463970425316,2,3,5,0.5,0.8660254,1,0,1
2019-05-02 03:00:00,0.5643504053567595,146.7081510749517,3,3,5,0.70710677,0.70710677,1,0,1
2019-05-02 04:00:00,0.5553063091844158,145.56859495723637,4,3,5,0.86602545,0.49999997,1,0,1
2019-05-02 05:00:00,0.5510327023349071,145.0301204941983,5,3,5,0.9659259,0.25881895,1,0,1
2019-05-02 06:00:00,0.5372230000414671,143.29009800522488,6,3,5,1.0,-4.371139e-08,1,0,1
