step,timestamp,room_temperature,outside_temperature,pue,cooling_setpoint,cooling_power,cooling_fan_speed
1,1774113512.054883,22.045794994397763,2.700000047683716,1.0285691672582387,22.0,343.13720125108665,50.0
2,1774113512.055896,22.09255662711571,2.700000047683716,1.0354306325839169,22.0,434.28006916549367,50.0
3,1774113512.056856,22.139620509378123,2.700000047683716,1.0424016327768042,22.0,523.3913974118684,50.0
4,1774113512.057786,22.18650201790119,2.700000047683716,1.0495434041795682,22.0,610.044148923535,50.0
5,1774113512.058737,22.23360151260803,2.700000047683716,1.0560640068353966,22.0,694.0447661235648,50.0
6,1774113512.059699,22.280471637530027,2.700000047683716,1.0628234948710709,22.0,775.1067159508365,50.0
7,1774113512.060638,22.326781306505215,2.700000047683716,1.0698179242229509,22.0,852.9141934205304,50.0
8,1774113512.061567,22.374953256172944,2.700000047683716,1.0731962375544208,22.0,928.0464356680834,50.0
9,1774113512.062498,22.42191908176675,2.700000047683716,1.0806319553235624,22.0,999.9927078293708,50.0
10,1774113512.063416,22.468570886031696,2.700000047683716,1.0866028703360475,22.0,1068.6642176719213,50.0
11,1774113512.064355,22.51467938038698,2.700000047683716,1.0927756441935175,22.0,1133.9329588088895,50.0
12,1774113512.065342,22.561215782392154,2.700000047683716,1.0969325551912052,22.0,1196.0412522468514,50.0
13,1774113512.232969,22.605639863382223,2.9000000953674316,1.106665806597841,22.0,1262.167002498361,50.0
14,1774113512.233923,22.65245594478723,2.9000000953674316,1.1061114584204979,22.0,1318.196130225156,50.0
15,1774113512.235056,22.700328023565238,2.9000000953674316,1.1081000554795681,22.0,1371.9020391776892,50.0
16,1774113512.236001,22.745677655709603,2.9000000953674316,1.11759367594742,22.0,1422.4735399174383,50.0
17,1774113512.236944,22.7918059698749,2.9000000953674316,1.1195655892469123,22.0,1470.3565307099107,50.0
18,1774113512.237871,22.837343131915613,2.9000000953674316,1.1245448243581961,22.0,1515.4970658331124,50.0
19,1774113512.238838,22.8847917744653,2.9000000953674316,1.1232902773677615,22.0,1558.7030959802528,50.0
20,1774113512.239778,22.931734283871833,2.9000000953674316,1.1276389650524068,22.0,1599.856588812991,50.0
21,1774113512.240709,22.979112848312578,2.9000000953674316,1.1295489307963795,22.0,1639.1863973872164,50.0
22,1774113512.241651,23.027842586163604,2.9000000953674316,1.1290886732980956,22.0,1677.2075501207867,50.0
23,1774113512.24257,23.074767425908302,2.9000000953674316,1.136284092026078,22.0,1713.2919429553006,50.0
24,1774113512.243491,23.120641347987632,2.9000000953674316,1.1416853268008411,22.0,1747.207753635469,50.0
25,1774113512.244423,23.168182706105004,0.8999999761581421,1.1297672040348448,22.0,1667.1324610962354,50.0
26,1774113512.245337,23.213809714608423,0.8999999761581421,1.1367477470233511,22.0,1695.5563006279917,50.0
27,1774113512.246268,23.26127138031411,0.8999999761581421,1.1340272114773653,22.0,1722.9077830235078,50.0
28,1774113512.247193,23.307522522204263,0.8999999761581421,1.1390543043797168,22.0,1748.8445180083968,50.0
29,1774113512.248115,23.35222214014612,0.8999999761581421,1.145137465114109,22.0,1772.983718076324,50.0
30,1774113512.249016,23.398308364295616,0.8999999761581421,1.1429508099737153,22.0,1795.9354425835204,50.0
31,1774113512.250339,23.444262810305634,0.8999999761581421,1.1448989814380774,22.0,1817.7427385716219,50.0
32,1774113512.251269,23.49009218311373,0.8999999761581421,1.1467472078689065,22.0,1838.4580407831663,50.0
33,1774113512.252249,23.53458569647754,0.8999999761581421,1.1520366344895543,22.0,1857.758201978771,50.0
34,1774113512.253161,23.581381877540032,0.8999999761581421,1.1467466322954065,22.0,1876.5167711256513,50.0
35,1774113512.254064,23.62842481384181,0.8999999761581421,1.1473350146673462,22.0,1894.8100086365637,50.0
36,1774113512.254979,23.675197009665276,0.8999999761581421,1.1493139366089395,22.0,1912.5473398067463,50.0
37,1774113512.443733,23.720538302840854,1.7999999523162842,1.159884561898892,22.0,1987.7386664900594,50.0
38,1774113512.444657,23.764647101004922,1.7999999523162842,1.1649351895701303,22.0,2003.6678626946032,50.0
39,1774113512.445595,23.811032252735675,1.7999999523162842,1.1588614684583782,22.0,2019.1398824098467,50.0
40,1774113512.446511,23.85816062340763,1.7999999523162842,1.1576732485621803,22.0,2034.4246162710756,50.0
41,1774113512.447448,23.904354360008842,1.7999999523162842,1.1614682287337428,22.0,2049.197831582698,50.0
42,1774113512.448342,23.950970475200947,1.7999999523162842,1.1611414809094125,22.0,2063.6274031353028,50.0
43,1774113512.449253,23.995026971706324,1.7999999523162842,1.1702042422987733,22.0,2076.909142563759,50.0
44,1774113512.450159,24.039688900345016,1.7999999523162842,1.1690269946905905,22.0,2089.3873704517905,50.0
45,1774113512.451074,24.085532147749497,1.7999999523162842,1.1660106490574795,22.0,2101.5547071605906,50.0
46,1774113512.45204,24.13071010869764,1.7999999523162842,1.1688958076239981,22.0,2113.2225204847305,50.0
47,1774113512.452995,24.1766813681297,1.7999999523162842,1.1670832645293368,22.0,2124.7043163583094,50.0
48,1774113512.45395,24.221770218656825,1.7999999523162842,1.170626970698151,22.0,2135.7276282285166,50.0
49,1774113512.454864,24.266221222870897,1.100000023841858,1.1689047331035711,22.0,2096.3059137267983,50.0
50,1774113512.455774,24.311189896080517,1.100000023841858,1.1678372901397676,22.0,2106.1786418789943,50.0
51,1774113512.456704,24.35614246113596,1.100000023841858,1.1684793589241165,22.0,2115.779400461058,50.0
52,1774113512.45763,24.40135141719207,1.100000023841858,1.1682285304793456,22.0,2125.226993289225,50.0
53,1774113512.458582,24.446397619935404,1.100000023841858,1.1693121305416367,22.0,2134.49029309499,50.0
54,1774113512.459507,24.491040165654685,1.100000023841858,1.171168567823821,22.0,2143.4657740638468,50.0
55,1774113512.460422,24.53666896636213,1.100000023841858,1.1685145120525424,22.0,2152.4998570976613,50.0
56,1774113512.461338,24.582413550223308,1.100000023841858,1.1686849470905873,22.0,2161.6207963946085,50.0
57,1774113512.462245,24.625752265886007,1.100000023841858,1.1771823922192108,22.0,2170.045060305474,50.0
58,1774113512.463167,24.670698612072712,1.100000023841858,1.1722335772438393,22.0,2178.385324060111,50.0
59,1774113512.464099,24.71617340508677,1.100000023841858,1.1710014566941913,22.0,2186.827591699807,50.0
60,1774113512.465023,24.760614286879672,1.100000023841858,1.174872764017592,22.0,2195.032749126696,50.0
61,1774113512.652706,24.805578843860488,0.800000011920929,1.1716570826948869,22.0,2181.139154808665,50.0
62,1774113512.653635,24.85003231059995,0.800000011920929,1.17378682685819,22.0,2189.0440248437826,50.0
63,1774113512.654548,24.89565484587039,0.800000011920929,1.170440804646157,22.0,2197.1560142350772,50.0
64,1774113512.655456,24.939537693561626,0.800000011920929,1.176609468153616,22.0,2204.9064649140864,50.0
65,1774113512.656402,24.986230615763116,0.800000011920929,1.1679840920018094,22.0,2213.218332381515,50.0
66,1774113512.657336,25.03154538332222,0.800000011920929,1.1728001532215184,22.0,2221.5709713697875,50.0
67,1774113512.658259,25.074375592449613,0.800000011920929,1.181674594660936,22.0,2229.1788052557713,50.0
68,1774113512.65917,25.1193783636424,0.800000011920929,1.1746634359214714,22.0,2236.8485364182816,50.0
69,1774113512.660071,25.162218351905814,0.800000011920929,1.1824608474524976,22.0,2243.906205363828,50.0
70,1774113512.660975,25.20731074136746,0.800000011920929,1.1751369845491915,22.0,2251.1622753994016,50.0
71,1774113512.6619,25.251594874282603,0.800000011920929,1.1782173014293138,22.0,2258.3436039145176,50.0
72,1774113512.662805,25.294945540665868,0.800000011920929,1.1818029419468739,22.0,2265.1827896932027,50.0
73,1774113512.66371,25.33804002255214,2.799999952316284,1.1975667856494896,22.0,2432.113337622575,50.0
74,1774113512.664645,25.383971874473232,2.799999952316284,1.1875508825549284,22.0,2439.5140052737383,50.0
75,1774113512.665576,25.427669066907868,2.799999952316284,1.1960197108911677,22.0,2446.6274031395446,50.0
76,1774113512.666499,25.47087289664569,2.799999952316284,1.198246663201994,22.0,2453.3453226493443,50.0
77,1774113512.667416,25.515868182858505,2.799999952316284,1.1919180262841589,22.0,2460.3603161783617,50.0
78,1774113512.668319,25.561464537685264,2.799999952316284,1.1901564157185855,22.0,2467.82753294413,50.0
79,1774113512.669214,25.60596640726908,2.799999952316284,1.1944911321699891,22.0,2475.312142407541,50.0
80,1774113512.670108,25.650976887194165,2.799999952316284,1.1930373340743061,22.0,2482.9830088199164,50.0
81,1774113512.671016,25.695584881236396,2.799999952316284,1.1949082985709243,22.0,2490.67230384343,50.0
82,1774113512.67192,25.740929338222678,2.799999952316284,1.1926584623987462,22.0,2498.6385745722364,50.0
83,1774113512.672816,25.783852241387347,2.799999952316284,1.2021263618243356,22.0,2506.031633765045,50.0
84,1774113512.673713,25.828094163256868,2.799999952316284,1.1974544685137531,22.0,2513.3864159134,50.0
85,1774113512.858758,25.873821119152655,5.300000190734863,1.2122546508986431,22.0,2753.997212340144,50.0
86,1774113512.859691,25.91904511458832,5.300000190734863,1.214702687730221,22.0,2762.5623157714344,50.0
87,1774113512.860707,25.96342028504885,5.300000190734863,1.2186070436320877,22.0,2770.910749752207,50.0
88,1774113512.861628,26.009789735574557,5.300000190734863,1.211084720545251,22.0,2779.8166416348367,50.0
89,1774113512.862543,26.05418279689073,5.300000190734863,1.2194621354952486,22.0,2788.4741802407034,50.0
90,1774113512.863453,26.097217783037472,5.300000190734863,1.2256767267668385,22.0,2796.4186436826467,50.0
91,1774113512.864367,26.139563932025936,5.300000190734863,1.2290919640247786,22.0,2803.5350024164695,50.0
92,1774113512.865454,26.18349171456782,5.300000190734863,1.2225073222115281,22.0,2810.572787467651,50.0
93,1774113512.866383,26.227775137980405,5.300000190734863,1.221345232314052,22.0,2817.702064416004,50.0
94,1774113512.867291,26.27248881326616,5.300000190734863,1.219911154155207,22.0,2825.0934208088856,50.0
95,1774113512.868196,26.318100041480342,5.300000190734863,1.2166598177647503,22.0,2833.040321946833,50.0
96,1774113512.869093,26.36045791605205,5.300000190734863,1.2308313922570129,22.0,2840.2667384599667,50.0
97,1774113512.870003,26.405091527010804,7.900000095367432,1.2458841323859176,22.0,3131.507727868874,50.0
98,1774113512.870901,26.450327219143915,7.900000095367432,1.2435206842162638,22.0,3139.9255342145134,50.0
99,1774113512.871822,26.495251419206486,7.900000095367432,1.2453663434788795,22.0,3148.5085887702407,50.0
100,1774113512.872748,26.53852941711606,7.900000095367432,1.253583785391695,22.0,3156.569856910944,50.0
101,1774113512.950315,26.58193979930397,7.900000095367432,1.253296604357048,22.0,3164.263509634828,50.0
102,1774113512.951239,26.626406915376702,7.900000095367432,1.2486027868823142,22.0,3172.1227539862243,50.0
103,1774113512.952207,26.669769320257867,7.900000095367432,1.2542478115670495,22.0,3179.6862761623465,50.0
104,1774113512.953088,26.714252274358252,7.900000095367432,1.24923466924724,22.0,3187.488441447649,50.0
105,1774113512.95398,26.75855287057908,7.900000095367432,1.2504648797469895,22.0,3195.4375092111445,50.0
106,1774113512.954932,26.80111780963856,7.900000095367432,1.2592912292440068,22.0,3202.8270910852425,50.0
107,1774113512.955825,26.84646421389391,7.900000095367432,1.2463204259888152,22.0,3210.9042491206455,50.0
108,1774113512.956692,26.89083745524991,7.900000095367432,1.2512243454087522,22.0,3219.1652073622454,50.0
109,1774113513.160935,26.93595371165034,10.199999809265137,1.2729613668849236,22.0,3518.743689413121,50.0
110,1774113513.161818,26.98107308577584,10.199999809265137,1.2734174720227707,22.0,3528.4078052885193,50.0
111,1774113513.162733,27.025478046389583,10.199999809265137,1.2775846404443763,22.0,3537.985663079392,50.0
112,1774113513.163611,27.070021392596736,10.199999809265137,1.2773304756241337,22.0,3547.5759272772434,50.0
113,1774113513.164501,27.115830046738875,10.199999809265137,1.271377143815019,22.0,3557.7509211773386,50.0
114,1774113513.165393,27.15952638228214,10.199999809265137,1.2828235804195254,22.0,3567.4762138783644,50.0
115,1774113513.166273,27.20268971321504,10.199999809265137,1.2861760402031808,22.0,3576.6003977399346,50.0
116,1774113513.167147,27.247352868400764,10.199999809265137,1.2785797133381,22.0,3585.929159763206,50.0
117,1774113513.168009,27.29099392165986,10.199999809265137,1.2844452286398356,22.0,3594.992398343689,50.0
118,1774113513.168866,27.336928073615518,10.199999809265137,1.2730060193615063,22.0,3604.8716927231376,50.0
119,1774113513.169725,27.381538322646573,10.199999809265137,1.280256031328337,22.0,3614.84551966963,50.0
120,1774113513.170593,27.426634675766465,10.199999809265137,1.2782446034317267,22.0,3625.12628452745,50.0
121,1774113513.171583,27.471283398529987,12.100000381469727,1.3044640581708709,22.0,3908.914877936115,50.0
122,1774113513.172479,27.51564079708313,12.100000381469727,1.3066727814530326,22.0,3919.6954083919777,50.0
123,1774113513.173337,27.560882969604044,12.100000381469727,1.302185538510288,22.0,3930.71987596906,50.0
124,1774113513.174192,27.60483891805447,12.100000381469727,1.3100849066852422,22.0,3941.342243428354,50.0
125,1774113513.175054,27.650170285418213,12.100000381469727,1.3027429595391822,22.0,3952.318322244124,50.0
126,1774113513.175913,27.69490442465457,12.100000381469727,1.3066594583228186,22.0,3963.3067108567657,50.0
127,1774113513.176785,27.739013450267777,12.100000381469727,1.3108024024905838,22.0,3974.022426484772,50.0
128,1774113513.177653,27.78163171683454,12.100000381469727,1.3202522917614525,22.0,3983.7966870944388,50.0
129,1774113513.178558,27.824671646568266,12.100000381469727,1.3180773024253747,22.0,3993.023790995542,50.0
130,1774113513.17942,27.8682549976974,12.100000381469727,1.3151949277662862,22.0,4002.0889817674383,50.0
131,1774113513.18028,27.913149159529908,12.100000381469727,1.3079754072628818,22.0,4011.6874382332167,50.0
132,1774113513.181148,27.95740102156995,12.100000381469727,1.3121239716610975,22.0,4021.436932992008,50.0
133,1774113513.366213,28.002169967227164,13.399999618530273,1.3271399026334014,22.0,4238.640714282961,50.0
134,1774113513.367089,28.046522883447498,13.399999618530273,1.3301859042363637,22.0,4249.262439084539,50.0
135,1774113513.367959,28.090883648927147,13.399999618530273,1.3306362199110593,22.0,4259.938252545767,50.0
136,1774113513.368824,28.134666522608732,13.399999618530273,1.3347333155218268,22.0,4270.375928152134,50.0
137,1774113513.369701,28.17774072275777,13.399999618530273,1.3397230335317447,22.0,4280.278266370857,50.0
138,1774113513.370567,28.22128169488421,13.399999618530273,1.3371474305558673,22.0,4289.998604599914,50.0
139,1774113513.371451,28.265473925319473,13.399999618530273,1.333480119968085,22.0,4299.931134396307,50.0
140,1774113513.372327,28.3068033942846,13.399999618530273,1.3526894904686546,22.0,4308.6094896733375,50.0
141,1774113513.373196,28.34940303670436,13.399999618530273,1.3450076534001505,22.0,4324.600245195548,50.0
142,1774113513.374067,28.393745119708672,13.399999618530273,1.3356914624360996,22.0,4353.0558749984475,50.0
143,1774113513.374927,28.438798228504606,13.399999618530273,1.3331840054275292,22.0,4381.967791140096,50.0
144,1774113513.375786,28.4833607303985,13.399999618530273,1.3380641640140851,22.0,4410.564870281828,50.0
145,1774113513.376638,28.52872365984257,14.100000381469727,1.3451277632544483,22.0,4561.734354016695,50.0
146,1774113513.377496,28.572435708101974,14.100000381469727,1.3577327698142097,22.0,4590.602897086423,50.0
147,1774113513.378352,28.615905273843524,14.100000381469727,1.3612594290641136,22.0,4619.311298563863,50.0
148,1774113513.379211,28.659462450579873,14.100000381469727,1.3625523769002263,22.0,4648.077560559798,50.0
149,1774113513.380112,28.703288381029274,14.100000381469727,1.3626190772489504,22.0,4677.02131431028,50.0
150,1774113513.380986,28.747412516177537,14.100000381469727,1.3624995244692986,22.0,4706.162009991774,50.0
151,1774113513.381847,28.791826841689662,14.100000381469727,1.3624474048888573,22.0,4735.494354734595,50.0
152,1774113513.382725,28.835490448102483,14.100000381469727,1.3694098598750881,22.0,4764.330905582722,50.0
153,1774113513.383609,28.87855854384202,14.100000381469727,1.3754276860798582,22.0,4792.774166109192,50.0
154,1774113513.384481,28.9195358197326,14.100000381469727,1.3926751628824092,22.0,4819.836596286504,50.0
155,1774113513.385361,28.963166220639224,14.100000381469727,1.3751030922189609,22.0,4848.65121737787,50.0
156,1774113513.386239,29.0063802732204,14.100000381469727,1.3798903297479121,22.0,4877.190871496887,50.0
157,1774113513.573146,29.050535758570497,13.899999618530273,1.3719670037408722,22.0,4868.314992368221,50.0
158,1774113513.574055,29.093019741119278,13.899999618530273,1.3855937364592033,22.0,4896.143290849233,50.0
159,1774113513.574968,29.136067299284157,13.899999618530273,1.3833384927988501,22.0,4924.340748470242,50.0
160,1774113513.575879,29.179114618581238,13.899999618530273,1.3851607934227752,22.0,4952.538049625591,50.0
161,1774113513.576779,29.2215775963285,13.899999618530273,1.3912323217423672,22.0,4980.352589323855,50.0
162,1774113513.577746,29.26546873728291,13.899999618530273,1.3827627523537063,22.0,5009.102619285122,50.0
163,1774113513.578673,29.306840085238484,13.899999618530273,1.4031650551369224,22.0,5036.202108325435,50.0
164,1774113513.579588,29.349384590001552,13.899999618530273,1.3960441052689119,22.0,5064.070050694398,50.0
165,1774113513.580492,29.391002182206623,13.899999618530273,1.404864213870332,22.0,5091.330837194674,50.0
